NÃO OTIMIZADO!
  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   0.7161   0.00855   0.00330  -0.1053   0.5433   1.0000
   2.200   0.7342   0.00866   0.00334  -0.1045   0.5373   1.0000
   2.400   0.7527   0.00877   0.00340  -0.1037   0.5318   1.0000
   2.600   0.7717   0.00884   0.00346  -0.1031   0.5261   1.0000
   2.800   0.7904   0.00895   0.00351  -0.1023   0.5205   1.0000
   3.000   0.8092   0.00909   0.00359  -0.1016   0.5153   1.0000
   3.200   0.8290   0.00916   0.00366  -0.1011   0.5102   1.0000
   3.400   0.8485   0.00927   0.00374  -0.1005   0.5048   1.0000
   3.600   0.8679   0.00942   0.00383  -0.0999   0.4998   1.0000
   3.800   0.8880   0.00952   0.00392  -0.0995   0.4949   1.0000
   4.000   0.9082   0.00961   0.00401  -0.0991   0.4898   1.0000
   4.200   0.9280   0.00975   0.00411  -0.0986   0.4847   1.0000
   4.400   0.9479   0.00991   0.00423  -0.0981   0.4798   1.0000
   4.600   0.9684   0.00999   0.00433  -0.0978   0.4749   1.0000
   4.800   0.9885   0.01011   0.00444  -0.0973   0.4697   1.0000
   5.000   1.0082   0.01028   0.00456  -0.0968   0.4646   1.0000
   5.200   1.0285   0.01040   0.00469  -0.0965   0.4597   1.0000
   5.400   1.0487   0.01051   0.00480  -0.0961   0.4543   1.0000
   5.600   1.0682   0.01067   0.00493  -0.0956   0.4489   1.0000
   5.800   1.0878   0.01083   0.00508  -0.0951   0.4436   1.0000
   6.000   1.1078   0.01093   0.00521  -0.0947   0.4379   1.0000
   6.200   1.1270   0.01109   0.00534  -0.0941   0.4320   1.0000
   6.400   1.1460   0.01127   0.00550  -0.0935   0.4262   1.0000
   6.600   1.1656   0.01138   0.00564  -0.0931   0.4199   1.0000
   6.800   1.1839   0.01156   0.00579  -0.0923   0.4133   1.0000
   7.000   1.2028   0.01171   0.00595  -0.0918   0.4068   1.0000
   7.200   1.2213   0.01186   0.00611  -0.0911   0.3994   1.0000
