 
N1PVA	   
x	y	   
1	      0.00062	   
0.98	0.006687	   
0.96	0.012837	   
0.94	0.019015	   
0.92	0.025174	   
0.9	0.031275	   
0.88	0.03728	   
0.86	0.04316	   
0.84	0.04889	   
0.82	0.054449	   
0.8	0.059819	   
0.78	0.064986	   
0.76	0.06994	   
0.74	0.074672	   
0.72	0.079176	   
0.7	0.083447	   
0.68	0.087482	   
0.66	0.091279	   
0.64	0.094837	   
0.62	0.098153	   
0.6	0.101229	   
0.58	0.104062	   
0.56	0.106651	   
0.54	0.108993	   
0.52	0.111086	   
0.5	0.112924	   
0.48	0.114503	   
0.46	0.115815	   
0.44	0.116851	   
0.42	0.117601	   
0.4	0.118052	   
0.38	0.118189	   
0.36	0.117997	   
0.34	0.117456	   
0.32	0.116546	   
0.3	0.115244	   
0.28	0.113526	   
0.26	0.111362	   
0.24	0.108725	   
0.22	0.10558	   
0.2	0.101893	   
0.18	0.097624	   
0.16	0.092727	   
0.14	0.08715	   
0.12	0.080825	   
0.1	0.073665	   
0.08	0.065536	   
0.06	0.056214	   
0.04	0.04524	   
0.02	0.031355	   
0	0	   
0.02	-0.02842	   
0.04	-0.03707	   
0.06	-0.04195	   
0.08	-0.04484	   
0.1	-0.04651	   
0.12	-0.04736	   
0.14	-0.04765	   
0.16	-0.04754	   
0.18	-0.04714	   
0.2	-0.04653	   
0.22	-0.04576	   
0.24	-0.04487	   
0.26	-0.04389	   
0.28	-0.04283	   
0.3	-0.0417	   
0.32	-0.04052	   
0.34	-0.03928	   
0.36	-0.03799	   
0.38	-0.03665	   
0.4	-0.03527	   
0.42	-0.03386	   
0.44	-0.0324	   
0.46	-0.03092	   
0.48	-0.02942	   
0.5	-0.0279	   
0.52	-0.02637	   
0.54	-0.02485	   
0.56	-0.02334	   
0.58	-0.02185	   
0.6	-0.02041	   
0.62	-0.01901	   
0.64	-0.01768	   
0.66	-0.01642	   
0.68	-0.01524	   
0.7	-0.01416	   
0.72	-0.01318	   
0.74	-0.0123	   
0.76	-0.01154	   
0.78	-0.01088	   
0.8	-0.01032	   
0.82	-0.00986	   
0.84	-0.00948	   
0.86	-0.00916	   
0.88	-0.00887	   
0.9	-0.00858	   
0.92	-0.00825	   
0.94	-0.00783	   
0.96	-0.00726	   
0.98	-0.00647	   
1	-0.00538	 
