Name,S1223
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.838000,0.126000
99.417000,0.494000
98.825000,1.037000
98.075000,1.646000
97.111000,2.250000
95.884000,2.853000
94.389000,3.476000
92.639000,4.116000
90.641000,4.768000
88.406000,5.427000
85.947000,6.089000
83.277000,6.749000
80.412000,7.402000
77.369000,8.044000
74.166000,8.671000
70.823000,9.277000
67.360000,9.859000
63.798000,10.412000
60.158000,10.935000
56.465000,11.425000
52.744000,11.881000
49.025000,12.303000
45.340000,12.683000
41.721000,13.011000
38.193000,13.271000
34.777000,13.447000
31.488000,13.526000
28.347000,13.505000
25.370000,13.346000
22.541000,13.037000
19.846000,12.594000
17.286000,12.026000
14.863000,11.355000
12.591000,10.598000
10.482000,9.770000
8.545000,8.879000
6.789000,7.940000
5.223000,6.965000
3.855000,5.968000
2.694000,4.966000
1.755000,3.961000
1.028000,2.954000
0.495000,1.969000
0.155000,1.033000
0.005000,0.178000
0.044000,-0.561000
0.264000,-1.120000
0.789000,-1.427000
1.718000,-1.550000
3.006000,-1.584000
4.627000,-1.532000
6.561000,-1.404000
8.787000,-1.202000
11.282000,-0.925000
14.020000,-0.563000
17.006000,-0.075000
20.278000,0.535000
23.840000,1.213000
27.673000,1.928000
31.750000,2.652000
36.044000,3.358000
40.519000,4.021000
45.139000,4.618000
49.860000,5.129000
54.639000,5.534000
59.428000,5.820000
64.176000,5.976000
68.832000,5.994000
73.344000,5.872000
77.660000,5.612000
81.729000,5.219000
85.500000,4.706000
88.928000,4.088000
91.966000,3.387000
94.573000,2.624000
96.693000,1.822000
98.255000,1.060000
99.268000,0.468000
99.825000,0.115000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.155000,1.033000
0.495000,0.356960
1.028000,0.747678
1.755000,1.205012
2.694000,1.695118
3.855000,2.205618
5.223000,2.736223
6.789000,3.278345
8.545000,3.827520
10.482000,4.378091
12.591000,4.923034
14.863000,5.464885
17.286000,6.001600
19.846000,6.524231
22.541000,7.001373
25.370000,7.422202
28.347000,7.776345
31.488000,8.065737
34.777000,8.298343
38.193000,8.473694
41.721000,8.593662
45.340000,8.661378
49.025000,8.670810
52.744000,8.627203
56.465000,8.534025
60.158000,8.389492
63.798000,8.187790
67.360000,7.923655
70.823000,7.608583
74.166000,7.246741
77.369000,6.836765
80.412000,6.374101
83.277000,5.878706
85.947000,5.357207
88.406000,4.804553
90.641000,4.230368
92.639000,3.653015
94.389000,3.076926
95.884000,2.490523
97.111000,1.934042
98.075000,1.396905
98.825000,0.881945
99.417000,0.433785
99.838000,0.116229
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
