 
CICLOIDAL 2 (victor.peron@uol.com.br)	   
1.000499	      -0.00143	   
0.980816	     0.004045	   
0.961125	     0.009496	   
0.941416	0.014881	   
0.921684	0.020168	   
0.901923	0.025329	   
0.88213	0.03034	   
0.862303	0.035182	   
0.842441	0.039838	   
0.822541	0.044296	   
0.802606	0.048544	   
0.782634	0.052575	   
0.762628	0.056384	   
0.742589	0.059966	   
0.722518	0.06332	   
0.702418	0.066444	   
0.682289	0.06934	   
0.662135	0.072009	   
0.641956	0.074452	   
0.621755	0.076671	   
0.601534	0.07867	   
0.581294	0.08045	   
0.561038	0.082014	   
0.540766	0.083362	   
0.52048	0.084495	   
0.500182	0.085414	   
0.479874	0.086118	   
0.459557	0.086604	   
0.439232	0.086868	   
0.418902	0.086907	   
0.398568	0.086715	   
0.378234	0.086283	   
0.3579	0.085602	   
0.33757	0.084662	   
0.317248	0.083451	   
0.296936	0.081955	   
0.27664	0.080158	   
0.256363	0.078042	   
0.236112	0.075591	   
0.215892	0.072782	   
0.19571	0.069595	   
0.175573	0.066004	   
0.155492	0.061984	   
0.135474	0.057503	   
0.115532	0.052525	   
0.09568	0.047006	   
0.075935	0.04088	   
0.056323	0.034044	   
0.036888	0.026293	   
0.017738	0.017073	   
0	0	   
0.022262	-0.01033	   
0.043112	-0.01308	   
0.063677	-0.01465	   
0.084065	-0.01559	   
0.10432	-0.01609	   
0.124468	-0.01628	   
0.144526	-0.0162	   
0.164508	-0.01591	   
0.184427	-0.01544	   
0.20429	-0.01483	   
0.224108	-0.01409	   
0.243888	-0.01326	   
0.263637	-0.01235	   
0.28336	-0.01139	   
0.303064	-0.01039	   
0.322752	-0.00937	   
0.34243	-0.00835	   
0.3621	-0.00734	   
0.381766	-0.00635	   
0.401432	-0.0054	   
0.421098	-0.00449	   
0.440768	-0.00363	   
0.460443	-0.00283	   
0.480126	-0.00209	   
0.499818	-0.00141	   
0.51952	-0.0008	   
0.539234	-0.00026	   
0.558962	0.000212	   
0.578706	0.00062	   
0.598466	0.000962	   
0.618245	0.00124	   
0.638044	0.001458	   
0.657865	0.001616	   
0.677711	0.001717	   
0.697582	0.001764	   
0.717482	0.001757	   
0.737411	0.001697	   
0.757372	0.001583	   
0.777366	0.001413	   
0.797394	0.001184	   
0.817459	0.000889	   
0.837559	0.000522	   
0.857697	7.1E-05	   
0.87787	-0.00048	   
0.898077	-0.00114	   
0.918316	-0.00193	   
0.938584	-0.00288	   
0.958875	-0.00401	   
0.979184	-0.00536	   
0.999501	-0.00697	 
