  
       XFOIL         Version 6.99
  
 Calculated polar for: S1223                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   2.000   1.4146   0.01541   0.00794  -0.2707   0.3817   0.3464
   2.500   1.4700   0.01568   0.00830  -0.2704   0.3792   0.3880
   3.000   1.5253   0.01601   0.00874  -0.2701   0.3759   0.4452
   3.500   1.5808   0.01638   0.00927  -0.2699   0.3717   0.5254
   4.500   1.6876   0.01711   0.01059  -0.2686   0.3624   0.8685
   5.000   1.7284   0.01762   0.01106  -0.2653   0.3558   1.0000
   5.500   1.7854   0.01858   0.01196  -0.2657   0.3485   1.0000
   6.000   1.8334   0.01909   0.01252  -0.2641   0.3464   1.0000
   6.500   1.8768   0.01955   0.01304  -0.2615   0.3433   1.0000
   7.000   1.9207   0.02012   0.01367  -0.2592   0.3394   1.0000
   7.500   1.9626   0.02072   0.01442  -0.2564   0.3342   1.0000
   8.000   2.0030   0.02140   0.01513  -0.2535   0.3287   1.0000
   8.500   2.0421   0.02238   0.01609  -0.2505   0.3207   1.0000
   9.000   2.0850   0.02336   0.01715  -0.2483   0.3139   1.0000
   9.500   2.1175   0.02390   0.01783  -0.2440   0.3089   1.0000
  10.000   2.1516   0.02468   0.01879  -0.2402   0.3017   1.0000
  10.500   2.1833   0.02571   0.01989  -0.2360   0.2943   1.0000
  11.000   2.2088   0.02732   0.02152  -0.2311   0.2835   1.0000
  11.500   2.2426   0.02828   0.02269  -0.2277   0.2791   1.0000
  12.000   2.2708   0.02960   0.02414  -0.2235   0.2681   1.0000
  12.500   2.2861   0.03184   0.02635  -0.2177   0.2478   1.0000
  13.000   2.2801   0.03600   0.03029  -0.2098   0.2059   1.0000
  13.500   2.2615   0.04186   0.03598  -0.2016   0.1691   1.0000
  14.000   2.2578   0.04681   0.04103  -0.1961   0.1557   1.0000
  14.500   2.2454   0.05297   0.04732  -0.1909   0.1415   1.0000
  15.000   2.2153   0.06206   0.05651  -0.1868   0.1262   1.0000
  15.500   2.1900   0.07161   0.06627  -0.1848   0.1157   1.0000
  16.000   2.1413   0.08537   0.08020  -0.1849   0.1036   1.0000
  16.500   2.1076   0.09730   0.09242  -0.1862   0.0992   1.0000
  17.000   2.0727   0.10932   0.10471  -0.1882   0.0957   1.0000
